"Reference","Value","DIST","DIST P/N","MFG","MFG P/N","Item","QUANTITY"
"C1-C8","0.1uF-10%-50V-0805","Digikey","311-1140-1-ND","YAGEO","CC0805KRX7R9BB104","1","8"
"D1,D2","PESD1CAN","Digikey","1727-3817-1-ND","Nexperia","PESD1CAN,215","2","2"
"D3-D7","CAN0,CAN1,CAN2,CPU,HD","Digikey","1080-1419-1-ND","Everlight Electronics","QTLP650D4TR","3","5"
"J1-J4","CAN1,CAN2","Digikey","WM4175-ND","Molex","0705550036","4","4"
"J5","NX Expansion","Digikey","952-3218-ND","Harwin","M20-7812045","5","1"
"LP1-LP3","Lumex-2x-Light-Pipe","Digikey","67-1850-ND","Lumex","LPF-C012303S","6","3"
"P1","Samtec 40 pin Elevated Socket","Digikey","SAM9319-ND","Samtec","ESQ-120-34-G-D","7","1"
"R1-R5","499R-1%-0805","Digikey","311-499CRCT-ND","YAGEO","RC0805FR-07499RL","8","5"
"R6,R7","49.9R-1%-0805","Digikey","311-49.9CRCT-ND","YAGEO","RC0805FR-0749R9L","9","2"
"U1","SN74LVC04ADR","Digikey","296-1218-1-ND","Texas Instruments","SN74LVC04ADR","10","1"
"U2,U5","MCP2558FD","Digikey","MCP2558FD-H/SN-ND","Microchip","MCP2558FD-H/SN","11","2"
"U3,U6","MCP2518FDT-H/SL","Digikey","MCP2518FDT-H/SLCT-ND","Microchip","MCP2518FDT-H/SL","12","2"
"U4","4MHz","Digikey","XC3114CT-ND","ECS Inc","ECS-5032MV-40-CN-TR","13","1"
